employee_id,home_area,latitude,longitude,distance_to_workplace_km,walk_to_station_min,waiting_time_min,public_transport_min,transfer_count,station_to_work_min,door_to_door_min,commute_group,connectivity_score,adoption_score,adoption_category
EMP0197,Hamburg-Wandsbek,53.546989,10.08615,28.24,4.6,5.3,38.5,0,7.6,56.0,46–60 min,65.1,63.1,Medium
EMP0198,Norderstedt,53.736031,9.953389,5.98,9.9,4.7,23.4,1,2.8,44.8,31–45 min,68.7,68.6,Medium
EMP0199,Hamburg-Altona,53.544945,10.008747,14.33,4.5,5.7,47.8,1,4.1,66.1,>60 min,54.6,55.2,Medium
EMP0200,Hamburg-Eimsbüttel,53.604002,9.976151,22.12,12.2,2.0,37.2,0,5.4,56.8,46–60 min,59.0,55.3,Medium
EMP0201,Hamburg-Bergedorf,53.488986,10.262765,20.29,6.6,4.2,54.0,0,7.5,72.3,>60 min,49.3,46.3,Medium
EMP0202,Ahrensburg,53.661662,10.257228,14.3,4.4,5.1,46.7,1,9.9,70.1,>60 min,45.5,44.3,Medium
EMP0203,Hamburg-Nord,53.639032,10.037301,16.62,6.4,6.7,15.4,0,5.9,34.4,31–45 min,83.5,81.8,High
EMP0204,Hamburg-Altona,53.565965,9.904674,17.22,7.3,6.1,30.6,0,7.5,51.5,46–60 min,66.4,63.6,Medium
EMP0205,Hamburg-Altona,53.552324,9.933307,20.57,12.5,5.8,38.0,0,6.0,62.3,>60 min,53.4,49.3,Medium
EMP0206,Hamburg-Eimsbüttel,53.568562,9.964334,19.36,6.3,10.9,43.8,3,6.7,79.6,>60 min,27.8,30.4,Low
EMP0207,Hamburg-Altona,53.555261,9.986784,14.87,6.1,3.0,41.8,0,7.2,58.1,46–60 min,62.2,59.8,Medium
EMP0208,Hamburg-Wandsbek,53.566317,10.080252,19.48,2.3,4.3,27.0,0,8.8,42.4,31–45 min,77.9,76.4,High
EMP0209,Hamburg-Altona,53.560968,9.955279,10.76,6.4,6.7,40.2,0,3.6,56.9,46–60 min,66.5,65.0,Medium
EMP0210,Hamburg-Nord,53.63942,10.049115,6.51,4.9,13.0,29.1,2,8.0,63.0,>60 min,47.4,48.6,Medium
EMP0211,Hamburg-Wandsbek,53.579124,10.118362,22.45,5.0,8.9,37.1,1,9.5,64.5,>60 min,50.0,48.9,Medium
EMP0212,Hamburg-Wandsbek,53.619159,10.07457,26.72,9.7,5.3,32.7,1,10.2,61.9,>60 min,46.9,44.2,Medium
EMP0213,Hamburg-Altona,53.525306,9.890941,17.96,12.3,8.3,35.9,2,12.1,76.6,>60 min,24.4,21.8,Low
EMP0214,Hamburg-Harburg,53.472167,9.924694,28.39,9.9,11.1,69.5,2,5.6,104.1,>60 min,26.5,26.4,Low
EMP0215,Hamburg-Wandsbek,53.566198,10.050905,14.07,6.0,2.0,22.8,0,4.8,35.6,31–45 min,84.0,82.8,High
EMP0216,Hamburg-Bergedorf,53.471098,10.213365,30.85,9.2,10.5,55.2,3,8.9,95.8,>60 min,18.4,19.4,Low
EMP0217,Hamburg-Altona,53.532133,9.898688,16.02,5.5,3.7,33.2,0,9.3,51.8,46–60 min,66.1,63.3,Medium
EMP0218,Hamburg-Altona,53.582637,9.918887,11.56,10.9,3.9,27.1,0,8.2,50.1,46–60 min,63.1,59.1,Medium
EMP0219,Norderstedt,53.737198,9.984972,4.09,4.8,7.6,31.1,1,8.1,55.6,46–60 min,59.2,58.8,Medium
EMP0220,Hamburg-Eimsbüttel,53.55695,9.955607,21.47,1.3,4.5,47.6,1,9.1,66.4,>60 min,52.6,52.7,Medium
EMP0221,Hamburg-Eimsbüttel,53.567209,9.931347,7.9,4.2,7.1,26.6,1,6.1,47.9,46–60 min,68.5,69.0,Medium
EMP0222,Hamburg-Nord,53.597962,9.997478,20.53,10.6,3.0,38.5,1,11.5,67.6,>60 min,39.8,36.3,Low
EMP0223,Hamburg-Wandsbek,53.641002,10.094786,23.36,12.9,4.7,38.2,0,11.8,67.7,>60 min,42.7,36.5,Low
EMP0224,Ahrensburg,53.621796,10.209547,8.9,10.2,5.8,34.6,1,11.5,66.2,>60 min,41.5,38.1,Low
EMP0225,Hamburg-Eimsbüttel,53.575708,9.910001,11.58,9.6,8.6,33.5,2,8.3,68.0,>60 min,38.1,37.7,Low
EMP0226,Norderstedt,53.689231,9.970399,6.68,10.2,7.1,38.3,0,6.0,61.5,>60 min,56.4,53.0,Medium
EMP0227,Hamburg-Altona,53.546131,9.942779,29.27,8.4,7.8,27.7,2,9.0,60.9,>60 min,44.9,44.8,Medium
EMP0228,Hamburg-Nord,53.629222,10.068822,20.3,4.0,5.4,31.7,0,6.7,47.8,46–60 min,73.6,72.1,High
EMP0229,Hamburg-Wandsbek,53.573306,10.123716,26.92,7.8,11.2,34.1,1,15.2,72.3,>60 min,34.9,31.1,Low
EMP0230,Hamburg-Altona,53.543888,9.957189,26.36,10.1,2.6,21.6,1,13.9,52.1,46–60 min,51.1,47.5,Medium
EMP0231,Hamburg-Altona,53.583716,9.946359,16.21,15.1,5.4,30.6,1,6.9,62.0,>60 min,44.7,41.3,Medium
EMP0232,Hamburg-Nord,53.610397,10.042072,10.98,1.9,3.5,42.0,0,4.3,51.7,46–60 min,73.0,72.3,High
EMP0233,Ahrensburg,53.68717,10.238478,30.55,3.9,8.7,46.2,2,5.5,72.3,>60 min,43.0,45.1,Medium
EMP0234,Hamburg-Wandsbek,53.59203,10.066927,19.05,7.7,4.7,37.4,1,5.5,59.4,46–60 min,55.7,55.1,Medium
EMP0235,Norderstedt,53.688106,9.973721,2.0,7.5,4.6,29.1,1,9.6,54.8,46–60 min,55.8,54.2,Medium
EMP0236,Hamburg-Harburg,53.460977,10.054154,35.07,4.6,4.4,41.2,0,6.7,56.8,46–60 min,65.3,63.5,Medium
EMP0237,Hamburg-Nord,53.58464,10.045771,24.46,8.5,5.9,30.0,0,7.1,51.5,46–60 min,65.5,62.4,Medium
EMP0238,Hamburg-Bergedorf,53.440942,10.261681,19.65,8.6,6.5,54.2,1,3.3,76.6,>60 min,42.4,41.7,Medium
EMP0239,Hamburg-Altona,53.517148,9.907839,24.44,6.6,4.1,35.8,0,4.7,51.2,46–60 min,70.2,68.4,Medium
EMP0240,Hamburg-Altona,53.517987,9.974854,30.96,8.5,4.9,43.9,1,10.9,72.2,>60 min,38.6,35.8,Low
EMP0241,Hamburg-Harburg,53.452879,9.98134,34.32,6.0,8.1,49.7,1,14.0,81.9,>60 min,29.7,26.5,Low
EMP0242,Hamburg-Bergedorf,53.541559,10.252284,37.29,10.3,5.5,37.7,0,8.4,61.8,>60 min,53.7,49.5,Medium
EMP0243,Hamburg-Eimsbüttel,53.583339,9.954638,8.51,8.9,3.4,26.7,0,10.2,49.1,46–60 min,64.1,60.1,Medium
EMP0244,Hamburg-Nord,53.611555,10.001292,7.98,10.1,10.8,31.9,3,9.6,74.5,>60 min,25.4,26.1,Low
EMP0245,Hamburg-Wandsbek,53.593932,10.066078,20.63,6.4,14.0,48.1,3,4.6,85.2,>60 min,25.5,28.6,Low
EMP0246,Hamburg-Harburg,53.467555,9.975979,22.55,9.1,7.0,44.1,1,10.5,74.8,>60 min,36.2,33.3,Low
EMP0247,Hamburg-Wandsbek,53.604133,10.099418,21.69,6.2,5.1,59.4,1,5.7,80.3,>60 min,39.2,38.5,Low
EMP0248,Hamburg-Nord,53.630658,10.0493,18.39,10.0,5.6,32.7,2,6.1,62.4,>60 min,44.7,45.0,Medium
EMP0249,Hamburg-Eimsbüttel,53.550324,9.912549,18.28,8.1,7.8,17.9,1,10.3,48.1,46–60 min,60.1,58.1,Medium
EMP0250,Hamburg-Nord,53.599281,9.979138,7.66,5.9,3.0,35.5,0,9.7,54.1,46–60 min,63.4,60.3,Medium
EMP0251,Hamburg-Wandsbek,53.577774,10.115866,14.19,3.7,8.6,38.7,1,5.5,60.6,>60 min,58.6,59.2,Medium
EMP0252,Hamburg-Harburg,53.469391,9.989613,25.94,6.7,7.4,54.3,1,6.3,78.7,>60 min,39.4,38.4,Low
EMP0253,Hamburg-Nord,53.62399,9.980492,18.1,11.1,4.4,30.3,1,6.4,56.2,46–60 min,54.2,52.4,Medium
EMP0254,Hamburg-Eimsbüttel,53.552136,9.948431,12.45,11.6,10.0,40.0,3,14.7,88.4,>60 min,10.2,8.7,Low
EMP0255,Hamburg-Eimsbüttel,53.588645,9.977433,13.09,9.8,8.2,28.4,1,3.6,54.1,46–60 min,59.9,59.3,Medium
EMP0256,Hamburg-Bergedorf,53.494039,10.241979,31.56,10.2,3.3,38.8,0,10.7,63.0,>60 min,50.4,45.5,Medium
EMP0257,Hamburg-Harburg,53.483984,9.968889,19.57,9.0,7.9,34.2,2,5.5,64.6,>60 min,44.5,45.2,Medium
EMP0258,Hamburg-Altona,53.519235,9.944916,20.64,9.0,4.3,47.2,0,6.1,66.6,>60 min,53.2,50.0,Medium
EMP0259,Hamburg-Altona,53.527445,9.967444,18.12,12.8,4.9,37.2,0,6.5,61.4,>60 min,53.3,48.9,Medium
EMP0260,Hamburg-Wandsbek,53.511152,10.053179,27.77,7.0,2.7,35.0,0,7.5,52.2,46–60 min,66.1,63.4,Medium
EMP0261,Hamburg-Altona,53.511234,9.967198,26.05,6.8,5.0,40.1,1,13.2,69.2,>60 min,40.5,37.6,Low
EMP0262,Hamburg-Harburg,53.43751,9.998611,31.32,6.8,4.0,43.3,0,4.9,59.0,46–60 min,63.1,61.1,Medium
EMP0263,Hamburg-Eimsbüttel,53.598486,9.9744,28.37,9.3,6.1,28.5,0,7.8,51.7,46–60 min,63.8,60.3,Medium
EMP0264,Hamburg-Altona,53.536815,9.954428,17.34,17.3,3.0,37.9,0,9.5,67.7,>60 min,40.5,33.8,Low
EMP0265,Norderstedt,53.709347,9.944844,13.81,5.5,5.2,30.7,1,8.4,53.8,46–60 min,59.8,59.1,Medium
EMP0266,Hamburg-Altona,53.531784,9.927162,20.38,7.1,7.7,40.2,1,8.5,67.5,>60 min,46.5,45.0,Medium
EMP0267,Hamburg-Eimsbüttel,53.5872,9.923026,14.52,8.1,5.9,16.9,1,7.9,42.8,31–45 min,67.1,66.0,Medium
EMP0268,Hamburg-Altona,53.557328,9.951179,21.54,3.1,7.5,40.1,2,7.0,65.7,>60 min,48.0,50.0,Medium
EMP0269,Hamburg-Altona,53.536268,9.904412,16.27,5.2,2.6,37.4,2,8.2,61.4,>60 min,48.3,49.4,Medium
EMP0270,Hamburg-Altona,53.513544,9.9359,22.91,8.5,3.1,15.9,0,7.8,35.4,31–45 min,78.5,75.7,High
EMP0271,Hamburg-Altona,53.534483,9.934752,11.14,7.2,2.0,35.0,0,8.9,53.1,46–60 min,63.8,60.6,Medium
EMP0272,Hamburg-Altona,53.531933,9.932796,31.27,6.2,8.6,31.8,2,9.9,64.5,>60 min,43.0,43.3,Medium
EMP0273,Hamburg-Altona,53.52813,9.903587,9.64,9.3,4.4,30.0,1,7.9,55.6,46–60 min,55.0,53.2,Medium
EMP0274,Hamburg-Wandsbek,53.531951,10.036333,28.31,9.8,8.1,30.8,3,9.8,70.4,>60 min,29.0,29.9,Low
EMP0275,Hamburg-Wandsbek,53.514214,10.084529,8.83,10.1,6.4,41.9,1,13.0,75.5,>60 min,32.0,28.1,Low
EMP0276,Hamburg-Eimsbüttel,53.572117,9.976608,16.05,6.9,10.5,32.5,2,4.7,62.6,>60 min,49.1,50.7,Medium
EMP0277,Hamburg-Eimsbüttel,53.534874,9.985087,20.76,5.1,10.3,35.0,1,16.4,70.8,>60 min,37.7,34.3,Low
EMP0278,Hamburg-Nord,53.601477,10.07775,12.6,7.0,3.7,19.8,0,8.3,38.8,31–45 min,76.7,74.1,High
EMP0279,Norderstedt,53.679467,10.009465,5.03,11.9,7.2,22.5,0,8.1,49.8,46–60 min,62.5,58.2,Medium
EMP0280,Hamburg-Harburg,53.498854,9.954617,32.33,6.4,8.9,32.3,0,7.9,55.5,46–60 min,63.5,60.8,Medium
EMP0281,Hamburg-Altona,53.566744,9.996917,11.71,8.7,5.4,32.2,2,5.2,59.4,46–60 min,49.5,50.5,Medium
EMP0282,Hamburg-Altona,53.568513,9.895727,26.57,12.1,5.9,45.4,1,2.3,69.7,>60 min,45.8,44.5,Medium
EMP0283,Hamburg-Eimsbüttel,53.596859,9.977034,23.86,9.8,11.4,30.2,3,2.0,65.5,>60 min,40.9,44.2,Medium
EMP0284,Hamburg-Eimsbüttel,53.56795,9.956036,10.27,10.2,2.6,32.7,0,8.8,54.3,46–60 min,59.8,55.7,Medium
EMP0285,Hamburg-Wandsbek,53.576477,10.126275,25.57,12.3,4.5,46.0,0,7.9,70.8,>60 min,44.5,39.7,Low
EMP0286,Hamburg-Nord,53.578901,10.035321,15.28,9.9,7.4,31.3,1,4.4,57.0,46–60 min,56.6,55.7,Medium
EMP0287,Hamburg-Altona,53.552377,9.954705,19.64,3.8,10.4,42.6,3,6.1,74.9,>60 min,34.7,38.4,Low
EMP0288,Hamburg-Eimsbüttel,53.584618,9.91691,25.41,5.8,3.2,29.5,0,8.1,46.6,46–60 min,71.4,69.0,Medium
EMP0289,Hamburg-Nord,53.569928,10.048126,14.83,3.4,7.2,42.5,1,7.7,64.7,>60 min,53.3,53.2,Medium
EMP0290,Hamburg-Altona,53.544008,9.915528,22.43,7.0,6.2,27.5,1,10.6,55.3,46–60 min,54.9,53.0,Medium
EMP0291,Hamburg-Harburg,53.403877,10.007806,34.2,12.8,4.1,38.9,1,11.1,71.0,>60 min,35.1,30.9,Low
EMP0292,Hamburg-Altona,53.514318,9.929904,20.68,7.2,7.9,37.3,1,7.4,63.8,>60 min,50.5,49.4,Medium
EMP0293,Norderstedt,53.708143,10.004624,12.11,10.1,6.0,27.7,0,13.0,56.9,46–60 min,53.4,48.0,Medium
EMP0294,Hamburg-Altona,53.568727,9.894874,21.12,9.1,5.7,29.1,0,7.8,51.7,46–60 min,64.1,60.7,Medium
EMP0295,Hamburg-Harburg,53.461096,9.95601,21.86,9.9,10.6,45.6,1,14.2,84.3,>60 min,23.6,19.1,Low
EMP0296,Norderstedt,53.679311,9.970722,21.96,4.4,5.7,32.8,1,7.9,54.7,46–60 min,60.7,60.5,Medium
EMP0297,Ahrensburg,53.633806,10.271702,28.84,2.7,8.1,51.7,2,12.2,82.7,>60 min,28.6,28.8,Low
EMP0298,Hamburg-Harburg,53.399418,10.005853,25.22,10.4,3.8,50.2,0,7.9,72.2,>60 min,45.2,40.9,Medium
EMP0299,Hamburg-Bergedorf,53.521823,10.222765,24.7,11.6,5.2,50.8,1,5.9,77.5,>60 min,36.0,33.7,Low
EMP0300,Hamburg-Wandsbek,53.539824,10.070774,20.97,14.1,9.2,30.6,3,8.1,74.0,>60 min,23.2,23.3,Low
EMP0301,Hamburg-Bergedorf,53.462341,10.21541,29.46,12.0,8.3,37.2,0,8.7,66.3,>60 min,47.8,42.9,Medium
EMP0302,Hamburg-Altona,53.577597,9.956573,21.54,3.6,9.4,30.9,1,12.3,60.1,>60 min,52.5,51.1,Medium
EMP0303,Hamburg-Nord,53.610447,10.032073,12.03,9.9,3.2,28.1,0,9.0,50.2,46–60 min,63.3,59.3,Medium
EMP0304,Hamburg-Nord,53.614106,10.034637,2.0,6.7,4.3,28.6,1,8.9,52.6,46–60 min,59.0,57.8,Medium
EMP0305,Hamburg-Harburg,53.434392,9.98239,31.67,9.6,4.4,29.5,1,9.7,57.2,46–60 min,51.5,49.1,Medium
EMP0306,Hamburg-Nord,53.63155,10.017432,20.1,6.1,14.0,31.1,3,9.7,72.9,>60 min,30.6,32.6,Low
EMP0307,Hamburg-Eimsbüttel,53.544331,9.948738,9.63,2.2,6.2,42.3,1,4.0,58.6,46–60 min,61.6,62.5,Medium
EMP0308,Hamburg-Wandsbek,53.580029,10.070261,25.58,5.3,6.1,31.8,1,5.8,53.0,46–60 min,63.3,63.4,Medium
EMP0309,Hamburg-Eimsbüttel,53.594229,9.961124,10.84,9.4,3.4,30.8,0,10.0,53.7,46–60 min,59.9,55.7,Medium
EMP0310,Hamburg-Altona,53.558854,9.953971,28.32,9.4,7.8,34.4,2,8.8,68.4,>60 min,37.6,37.1,Low
EMP0311,Hamburg-Nord,53.595359,10.066333,9.32,8.8,8.1,24.1,2,8.7,57.8,46–60 min,47.2,47.1,Medium
EMP0312,Hamburg-Nord,53.559997,10.047,9.8,6.0,13.6,17.3,2,6.6,51.5,46–60 min,57.6,59.2,Medium
EMP0313,Hamburg-Eimsbüttel,53.562582,9.945029,14.64,5.8,8.0,29.7,1,11.9,59.5,46–60 min,51.1,49.1,Medium
EMP0314,Hamburg-Eimsbüttel,53.589758,9.948374,17.82,4.2,6.5,17.7,0,9.2,37.6,31–45 min,79.6,77.6,High
EMP0315,Hamburg-Eimsbüttel,53.588652,9.977262,18.52,11.5,5.3,35.6,2,10.8,71.2,>60 min,31.1,29.3,Low
EMP0316,Hamburg-Eimsbüttel,53.528689,9.926369,18.25,5.2,2.0,35.7,0,5.3,48.2,46–60 min,73.5,72.1,High
EMP0317,Hamburg-Eimsbüttel,53.563078,9.988718,13.04,12.1,10.1,22.3,1,13.5,61.9,>60 min,41.3,36.9,Low
EMP0318,Hamburg-Wandsbek,53.614372,10.078253,15.67,6.9,3.2,26.2,1,10.2,50.4,46–60 min,59.5,58.0,Medium
EMP0319,Hamburg-Eimsbüttel,53.572528,9.960084,16.95,7.0,6.3,30.2,2,5.8,57.4,46–60 min,52.3,53.7,Medium
EMP0320,Norderstedt,53.68843,9.989584,2.61,6.8,5.7,17.8,1,7.1,41.3,31–45 min,70.4,70.0,High
EMP0321,Norderstedt,53.683604,10.006356,5.03,10.7,6.1,29.7,1,7.1,57.5,46–60 min,52.7,50.8,Medium
EMP0322,Hamburg-Nord,53.652933,10.028454,7.35,8.7,6.1,21.0,1,8.7,48.5,46–60 min,60.8,59.1,Medium
EMP0323,Hamburg-Eimsbüttel,53.57715,9.891646,27.1,9.7,8.6,29.5,2,7.6,63.4,>60 min,42.7,42.6,Medium
EMP0324,Hamburg-Nord,53.569386,10.009549,7.55,7.7,6.2,36.9,0,16.2,67.0,>60 min,44.0,38.1,Low
EMP0325,Hamburg-Harburg,53.476423,9.944487,20.71,8.3,7.3,35.8,1,2.4,57.8,46–60 min,59.7,59.8,Medium
EMP0326,Hamburg-Wandsbek,53.585614,10.044076,25.38,12.9,7.1,29.3,1,2.9,56.2,46–60 min,55.9,54.6,Medium
EMP0327,Hamburg-Harburg,53.415945,9.988891,29.92,6.5,4.3,34.8,1,4.4,53.9,46–60 min,62.7,62.9,Medium
EMP0328,Hamburg-Nord,53.580567,10.007592,12.34,6.5,3.5,32.6,0,12.2,54.8,46–60 min,59.6,55.5,Medium
EMP0329,Hamburg-Wandsbek,53.606962,10.024053,15.66,7.2,2.0,28.3,0,5.8,43.3,31–45 min,75.1,73.0,High
EMP0330,Hamburg-Eimsbüttel,53.569224,9.909544,6.87,3.9,7.8,26.9,1,13.4,56.0,46–60 min,54.5,52.8,Medium
EMP0331,Hamburg-Bergedorf,53.468349,10.178785,44.53,15.3,9.2,39.6,1,3.2,71.4,>60 min,40.1,37.6,Low
EMP0332,Hamburg-Altona,53.542516,9.901951,21.94,1.3,7.3,31.5,1,7.3,51.3,46–60 min,67.2,68.2,Medium
EMP0333,Hamburg-Wandsbek,53.558556,10.043031,13.39,10.0,2.2,45.1,0,8.0,65.3,>60 min,51.3,47.3,Medium
EMP0334,Hamburg-Harburg,53.499414,9.983455,28.41,10.3,8.9,53.8,2,9.1,90.1,>60 min,22.7,21.5,Low
EMP0335,Hamburg-Altona,53.550336,9.933797,8.18,7.1,9.1,39.6,1,5.5,65.3,>60 min,51.3,50.7,Medium
EMP0336,Hamburg-Wandsbek,53.558405,10.114413,9.98,5.8,5.1,37.5,0,15.2,63.5,>60 min,50.0,45.0,Medium
EMP0337,Hamburg-Altona,53.527876,9.905157,18.56,6.1,5.6,44.5,1,5.5,65.7,>60 min,51.9,51.6,Medium
EMP0338,Hamburg-Bergedorf,53.544528,10.201608,31.41,4.9,5.4,39.7,0,6.1,56.2,46–60 min,66.1,64.4,Medium
EMP0339,Hamburg-Altona,53.544331,9.924274,21.96,8.9,6.6,32.0,0,8.9,56.3,46–60 min,59.2,55.4,Medium
EMP0340,Norderstedt,53.667298,9.992086,14.18,1.9,5.9,17.0,0,5.6,30.4,31–45 min,91.1,90.9,High
EMP0341,Hamburg-Altona,53.544628,9.915512,26.07,4.9,3.6,28.5,0,7.1,44.1,31–45 min,75.5,73.7,High
EMP0342,Ahrensburg,53.686742,10.21405,22.09,4.2,7.4,51.2,2,8.8,79.5,>60 min,33.2,34.1,Low
EMP0343,Hamburg-Harburg,53.445371,9.980156,33.81,11.5,12.5,47.1,3,9.1,92.2,>60 min,15.9,16.2,Low
EMP0344,Hamburg-Wandsbek,53.607215,10.074087,18.14,8.6,4.6,27.1,1,9.1,53.4,46–60 min,56.4,54.5,Medium
EMP0345,Hamburg-Bergedorf,53.56196,10.224384,30.97,8.6,5.1,44.3,1,4.3,66.3,>60 min,50.1,49.4,Medium
EMP0346,Hamburg-Bergedorf,53.451308,10.219773,21.34,5.9,4.9,48.7,0,7.5,67.1,>60 min,54.5,51.8,Medium
EMP0347,Norderstedt,53.699978,9.97146,6.4,5.5,6.8,20.6,0,6.3,39.2,31–45 min,79.9,78.3,High
EMP0348,Hamburg-Eimsbüttel,53.601588,9.933698,17.47,9.7,6.3,38.9,1,9.1,68.1,>60 min,42.7,40.2,Medium
EMP0349,Hamburg-Wandsbek,53.579494,10.07439,20.68,6.1,3.6,41.3,2,8.5,67.6,>60 min,41.8,42.4,Medium
EMP0350,Hamburg-Altona,53.58523,9.960819,16.94,12.2,5.7,27.4,1,4.4,53.7,46–60 min,57.2,55.6,Medium
EMP0351,Hamburg-Wandsbek,53.569554,10.106413,11.7,8.2,3.4,46.2,0,6.9,64.7,>60 min,54.8,51.6,Medium
EMP0352,Hamburg-Altona,53.576531,9.948088,23.3,14.8,3.0,27.9,1,8.2,57.9,46–60 min,47.2,43.7,Medium
EMP0353,Hamburg-Nord,53.633273,9.947442,9.89,7.3,8.7,31.4,0,9.7,57.1,46–60 min,59.3,55.8,Medium
EMP0354,Hamburg-Wandsbek,53.604149,10.051698,18.14,11.8,6.1,38.2,0,12.4,68.6,>60 min,42.3,36.3,Low
EMP0355,Hamburg-Nord,53.58,10.030701,16.4,6.2,5.2,37.8,1,11.4,64.6,>60 min,47.0,44.9,Medium
EMP0356,Hamburg-Nord,53.640515,9.997004,6.14,10.2,4.6,38.1,0,7.7,60.6,>60 min,55.4,51.5,Medium
EMP0357,Hamburg-Bergedorf,53.44968,10.235686,31.21,9.0,7.8,39.6,0,7.8,64.2,>60 min,53.5,49.8,Medium
EMP0358,Hamburg-Bergedorf,53.424334,10.211143,29.3,7.6,13.5,50.3,3,18.0,101.3,>60 min,10.9,9.7,Low
EMP0359,Hamburg-Nord,53.650146,10.051573,14.17,12.4,3.9,23.3,0,9.1,48.7,46–60 min,62.1,57.4,Medium
EMP0360,Hamburg-Wandsbek,53.595645,10.040184,20.65,9.4,2.3,27.4,0,4.0,43.1,31–45 min,75.0,72.8,High
EMP0361,Norderstedt,53.677228,9.995248,2.0,2.9,8.0,26.0,3,7.7,56.7,46–60 min,49.6,53.5,Medium
EMP0362,Hamburg-Altona,53.551132,9.94653,34.13,9.0,3.7,27.7,1,2.0,46.4,46–60 min,69.0,69.3,Medium
EMP0363,Hamburg-Altona,53.590326,9.909706,13.98,9.2,9.2,28.2,2,6.9,61.4,>60 min,45.6,45.9,Medium
EMP0364,Hamburg-Altona,53.615602,9.976687,23.24,8.8,2.5,17.7,1,3.1,36.1,31–45 min,76.8,77.1,High
EMP0365,Hamburg-Wandsbek,53.580342,10.075797,25.32,7.2,8.6,45.1,2,8.0,77.0,>60 min,33.2,33.4,Low
EMP0366,Hamburg-Nord,53.708131,9.984226,15.26,12.1,9.7,33.8,1,11.6,71.3,>60 min,35.0,30.9,Low
EMP0367,Hamburg-Bergedorf,53.534272,10.268026,24.23,5.9,10.9,51.2,3,9.3,89.3,>60 min,21.3,23.2,Low
EMP0368,Hamburg-Wandsbek,53.558679,10.087775,15.71,9.8,6.3,39.8,2,8.6,72.5,>60 min,33.8,33.2,Low
EMP0369,Hamburg-Eimsbüttel,53.564164,9.96206,14.39,7.9,7.9,36.0,0,8.6,60.5,>60 min,56.9,53.4,Medium
EMP0370,Norderstedt,53.697295,10.012977,4.78,1.0,9.5,29.8,1,5.6,50.0,46–60 min,68.9,70.1,High
EMP0371,Hamburg-Bergedorf,53.525529,10.218556,32.06,6.6,3.4,42.6,0,10.6,63.2,>60 min,53.9,50.2,Medium
EMP0372,Hamburg-Eimsbüttel,53.569013,9.940543,20.6,4.2,5.7,35.2,1,4.8,53.8,46–60 min,64.7,65.5,Medium
EMP0373,Hamburg-Eimsbüttel,53.557147,9.932998,26.15,5.1,5.7,11.7,1,12.2,38.7,31–45 min,69.2,67.8,Medium
EMP0374,Hamburg-Eimsbüttel,53.586277,9.943464,16.45,7.6,9.1,28.5,1,9.2,58.4,46–60 min,52.9,51.2,Medium
EMP0375,Hamburg-Altona,53.534158,9.935307,15.67,6.0,7.2,32.5,0,13.0,58.7,46–60 min,55.9,51.7,Medium
EMP0376,Hamburg-Altona,53.553136,9.936304,21.96,8.0,2.0,50.7,0,8.8,69.5,>60 min,49.0,45.2,Medium
EMP0377,Norderstedt,53.765595,9.967104,2.0,6.7,3.9,21.6,0,7.9,40.1,31–45 min,76.2,73.7,High
EMP0378,Hamburg-Nord,53.62416,10.037052,18.27,8.3,4.1,30.9,0,3.5,46.9,46–60 min,73.3,71.5,High
EMP0379,Hamburg-Eimsbüttel,53.57879,9.938227,10.87,2.7,7.7,22.5,1,13.5,50.3,46–60 min,60.5,59.1,Medium
EMP0380,Hamburg-Bergedorf,53.497546,10.193719,26.64,8.1,5.5,31.7,1,7.3,56.6,46–60 min,56.0,54.8,Medium
EMP0381,Hamburg-Nord,53.579183,9.997479,3.21,1.2,6.7,34.2,1,9.2,55.3,46–60 min,62.0,62.3,Medium
EMP0382,Norderstedt,53.675091,9.93034,4.78,8.5,7.2,18.4,1,6.9,45.0,46–60 min,65.7,64.7,Medium
EMP0383,Hamburg-Bergedorf,53.445229,10.287003,26.46,10.9,3.4,46.6,1,9.3,74.2,>60 min,36.0,33.0,Low
EMP0384,Hamburg-Nord,53.624244,9.99924,13.88,10.6,11.9,17.9,2,2.0,50.4,46–60 min,58.5,60.1,Medium
EMP0385,Hamburg-Eimsbüttel,53.548115,9.926921,23.69,10.2,8.4,29.7,2,6.9,63.1,>60 min,43.2,43.2,Medium
EMP0386,Pinneberg,53.65336,9.78286,17.71,4.5,4.0,40.5,1,8.8,61.8,>60 min,53.6,52.9,Medium
EMP0387,Hamburg-Wandsbek,53.58027,10.106125,30.57,12.6,4.6,48.2,2,7.8,81.2,>60 min,24.5,23.0,Low
EMP0388,Ahrensburg,53.708955,10.263909,26.2,5.7,5.6,37.1,0,7.5,55.9,46–60 min,64.1,61.7,Medium
EMP0389,Hamburg-Altona,53.510285,9.929338,21.02,10.3,6.5,28.4,0,3.7,48.9,46–60 min,69.3,66.8,Medium
EMP0390,Hamburg-Harburg,53.442313,10.004542,33.09,3.5,11.8,31.8,2,7.8,62.9,>60 min,49.0,50.7,Medium
EMP0391,Hamburg-Wandsbek,53.547279,10.094849,22.61,3.8,4.5,40.7,1,5.1,58.0,46–60 min,61.1,61.8,Medium
EMP0392,Hamburg-Altona,53.626076,9.916345,23.54,8.1,8.8,34.1,2,12.2,71.1,>60 min,33.2,32.0,Low
EMP0393,Hamburg-Wandsbek,53.603847,10.079579,27.92,7.2,6.8,39.7,2,6.3,67.9,>60 min,42.7,43.6,Medium
